tipo,N,threads,resultado,referencia,erro_relativo,tempo_s,rep
integral,50000000,4,0.7467701996,0.7468241328,7.221672e-05,0.209893,4
pi,50000000,4,3.1413284800,3.1415926536,8.408907e-05,0.191067,5
integral,50000000,4,0.7467701996,0.7468241328,7.221672e-05,0.209580,5
pi,50000000,8,3.1415224800,3.1415926536,2.233695e-05,0.105547,1
integral,50000000,8,0.7468256259,0.7468241328,1.999298e-06,0.116175,1
pi,50000000,8,3.1415224800,3.1415926536,2.233695e-05,0.116830,2
integral,50000000,8,0.7468256259,0.7468241328,1.999298e-06,0.119568,2
pi,50000000,8,3.1415224800,3.1415926536,2.233695e-05,0.106063,3
integral,50000000,8,0.7468256259,0.7468241328,1.999298e-06,0.116137,3
pi,50000000,8,3.1415224800,3.1415926536,2.233695e-05,0.105616,4
integral,50000000,8,0.7468256259,0.7468241328,1.999298e-06,0.116176,4
pi,50000000,8,3.1415224800,3.1415926536,2.233695e-05,0.105363,5
integral,50000000,8,0.7468256259,0.7468241328,1.999298e-06,0.116163,5
pi,50000000,10,3.1413904800,3.1415926536,6.435385e-05,0.087976,1
integral,50000000,10,0.7468537382,0.7468241328,3.964174e-05,0.095946,1
pi,50000000,10,3.1413904800,3.1415926536,6.435385e-05,0.088074,2
integral,50000000,10,0.7468537382,0.7468241328,3.964174e-05,0.095738,2
pi,50000000,10,3.1413904800,3.1415926536,6.435385e-05,0.087200,3
integral,50000000,10,0.7468537382,0.7468241328,3.964174e-05,0.095701,3
pi,50000000,10,3.1413904800,3.1415926536,6.435385e-05,0.087848,4
integral,50000000,10,0.7468537382,0.7468241328,3.964174e-05,0.095637,4
pi,50000000,10,3.1413904800,3.1415926536,6.435385e-05,0.087161,5
integral,50000000,10,0.7468537382,0.7468241328,3.964174e-05,0.095701,5
pi,50000000,20,3.1415574400,3.1415926536,1.120883e-05,0.044752,1
integral,50000000,20,0.7468122808,0.7468241328,1.586984e-05,0.048157,1
pi,50000000,20,3.1415574400,3.1415926536,1.120883e-05,0.044607,2
integral,50000000,20,0.7468122808,0.7468241328,1.586984e-05,0.047861,2
pi,50000000,20,3.1415574400,3.1415926536,1.120883e-05,0.044152,3
integral,50000000,20,0.7468122808,0.7468241328,1.586984e-05,0.047890,3
pi,50000000,20,3.1415574400,3.1415926536,1.120883e-05,0.044378,4
integral,50000000,20,0.7468122808,0.7468241328,1.586984e-05,0.047875,4
pi,50000000,20,3.1415574400,3.1415926536,1.120883e-05,0.044238,5
integral,50000000,20,0.7468122808,0.7468241328,1.586984e-05,0.047921,5
pi,50000000,40,3.1413772000,3.1415926536,6.858101e-05,0.044106,1
integral,50000000,40,0.7468178692,0.7468241328,8.386975e-06,0.044124,1
pi,50000000,40,3.1413772000,3.1415926536,6.858101e-05,0.043588,2
integral,50000000,40,0.7468178692,0.7468241328,8.386975e-06,0.044215,2
pi,50000000,40,3.1413772000,3.1415926536,6.858101e-05,0.068124,3
integral,50000000,40,0.7468178692,0.7468241328,8.386975e-06,0.067536,3
pi,50000000,40,3.1413772000,3.1415926536,6.858101e-05,0.043096,4
integral,50000000,40,0.7468178692,0.7468241328,8.386975e-06,0.042596,4
pi,50000000,40,3.1413772000,3.1415926536,6.858101e-05,0.043114,5
integral,50000000,40,0.7468178692,0.7468241328,8.386975e-06,0.042362,5
pi,100000000,1,3.1412943200,3.1415926536,9.496253e-05,1.472194,1
integral,100000000,1,0.7468315243,0.7468241328,9.897187e-06,1.659525,1
pi,100000000,1,3.1412943200,3.1415926536,9.496253e-05,1.502979,2
integral,100000000,1,0.7468315243,0.7468241328,9.897187e-06,1.660636,2
pi,100000000,1,3.1412943200,3.1415926536,9.496253e-05,1.505659,3
integral,100000000,1,0.7468315243,0.7468241328,9.897187e-06,1.660829,3
pi,100000000,1,3.1412943200,3.1415926536,9.496253e-05,1.516264,4
integral,100000000,1,0.7468315243,0.7468241328,9.897187e-06,1.659485,4
